State_Abbrev,year,State_Name,pop_millions,percapita_health_spending_thousands,medicaid_enroll_percapita,prev2years_drugusecalc,prev2years_aud,prev2years_marijuana,Gender_Male,Ethnicity_HispanicorLatino,Race_White,Insurance_Uninsured,Unemployment,Income,Forprofit,Government,Nonprofit,count_tx_total
IL,2023,Illinois,12.64226,NA,NA,1.353632459,10.88010691,17.11750846,49.4122444,18.99078933,76.02335803,NA,4.5,87820,196,41,366,603
IN,2015,Indiana,6.611442,8.368,0.182108532,0.82355,7.0967,7.6377,48.65932047,5.138484016,87.68618543,9.9,4.8,65310,76,11,176,263
IN,2016,Indiana,6.637898,8.776,0.204884137,0.8067,6.3019,8.7862,48.65932047,5.138484016,87.68618543,8.1,4.4,69850,78,11,176,265
IN,2017,Indiana,6.662068,9.015,0.213147029,0.9378,5.7154,8.9138,48.65932047,5.138484016,87.68618543,8.4,3.5,71920,115,11,179,305
IN,2018,Indiana,6.698481,9.297,0.206763295,1.37305,5.6311,9.5877,48.65932047,5.138484016,87.68618543,8.5,3.4,71850,145,14,209,368
IN,2019,Indiana,6.73101,9.927,0.205466936,1.4187,5.1521,10.5726,48.74585282,5.982135506,86.21190766,8.8,3.3,78840,167,11,215,393
IN,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,12,221,416
IN,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,23,271,470
IN,2022,Indiana,6.844545,NA,NA,1.02145,6.0019,11.9846,49.69222324,7.928377967,83.958919,6.8,3.1,72810,184,20,257,461
IN,2023,Indiana,6.880131,NA,NA,0.986469633,10.84303157,13.0832087,49.61195384,8.773980469,83.69719386,NA,3.4,76910,227,11,257,495
KS,2015,Kansas,2.910717,7.634,0.12642933,0.8494,7.9213,6.393,49.26082197,8.908343031,88.44926317,9.3,4.2,68930,72,33,103,208
KS,2016,Kansas,2.912977,7.845,0.137316567,0.6987,6.3657,7.3762,49.26082197,8.908343031,88.44926317,8.4,4,70740,69,30,102,201
