"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","overdose_rate","overdose_rate_lag"
"IL","2018","Illinois",12.725,9.118,0.248408644400786,1.18395,6.6494,9.0108,48.4863608244435,14.0071272273092,78.7722746116184,7.1,4.4,81080,266,29,384,679,21.3,21.6
"IL","2019","Illinois",12.667,9.496,0.236046419831057,1.3359,6.4306,9.9303,48.5872114951666,15.3658916688368,77.6543155353384,7.3,4,84740,287,39,449,775,21.9,21.3
"IN","2015","Indiana",6.611,8.368,0.182120707911057,0.82355,7.0967,7.6377,48.659320471975,5.13848401619798,87.686185426108,9.9,4.8,62930,76,11,176,263,19.5,18.2
"IN","2016","Indiana",6.638,8.776,0.204880988249473,0.8067,6.3019,8.7862,48.659320471975,5.13848401619798,87.686185426108,8.1,4.4,67310,78,11,176,265,24,19.5
"IN","2017","Indiana",6.662,9.015,0.21314920444311,0.9378,5.7154,8.9138,48.659320471975,5.13848401619798,87.686185426108,8.4,3.5,69290,115,11,179,305,29.4,24
"IN","2018","Indiana",6.698,9.297,0.206778142729173,1.37305,5.6311,9.5877,48.659320471975,5.13848401619798,87.686185426108,8.5,3.4,69230,145,14,209,368,25.6,29.4
"IN","2019","Indiana",6.731,9.927,0.205467241123162,1.4187,5.1521,10.5726,48.7458528160166,5.98213550551327,86.2119076610415,8.8,3.3,75960,167,11,215,393,26.6,25.6
"KS","2015","Kansas",2.911,7.634,0.126417038818276,0.8494,7.9213,6.393,49.2608219746287,8.90834303095943,88.4492631724488,9.3,4.2,66410,72,33,103,208,11.8,11.7
"KS","2016","Kansas",2.913,7.845,0.137315482320632,0.6987,6.3657,7.3762,49.2608219746287,8.90834303095943,88.4492631724488,8.4,4,68160,69,30,102,201,11.1,11.8
"KS","2017","Kansas",2.911,8.06,0.130882858124356,0.7953,5.3825,6.9999,49.2608219746287,8.90834303095943,88.4492631724488,8.5,3.6,67090,61,22,99,182,11.8,11.1
"KS","2018","Kansas",2.913,8.381,0.128733264675592,1.00875,5.8711,6.7791,49.2608219746287,8.90834303095943,88.4492631724488,8.7,3.4,73900,59,29,91,179,12.4,11.8
"KS","2019","Kansas",2.913,8.745,0.124957088911775,1.0022,5.4972,6.5446,49.3554578501453,10.1526242525491,87.4689193381639,9.2,3.2,83320,58,28,93,179,14.3,12.4
"KY","2015","Kentucky",4.429,8.306,0.27884398284037,1.1076,5.8569,6.8634,48.6794732939896,2.70292198452666,89.6173796107502,6.1,5.2,51310,144,8,182,334,29.9,24.7
"KY","2016","Kentucky",4.44,8.611,0.293693693693694,1.13925,5.947,7.1327,48.6794732939896,2.70292198452666,89.6173796107502,5.2,5,54440,169,8,186,363,33.5,29.9
"KY","2017","Kentucky",4.456,8.959,0.302962298025135,1.13265,5.7121,7.1139,48.6794732939896,2.70292198452666,89.6173796107502,5.5,4.8,58570,167,6,186,359,37.2,33.5
"KY","2018","Kentucky",4.464,9.332,0.296146953405018,1.05495,5.2802,7.946,48.6794732939896,2.70292198452666,89.6173796107502,5.6,4.2,63060,207,7,204,418,30.9,37.2
"KY","2019","Kentucky",4.472,9.744,0.286449016100179,1.14105,4.9593,8.4228,48.6862027573206,3.13459014894998,88.6587004844471,6.4,4.1,63400,227,5,217,449,32.5,30.9
"LA","2015","Louisiana",4.667,8.201,0.272123419755732,1.0293,6.4005,6.1745,48.2792178589036,4.34734096392264,65.728555049658,12.1,6.3,55590,57,47,55,159,19,16.9
"LA","2016","Louisiana",4.681,8.542,0.297585985900449,1.0235,7.0396,6.4257,48.2792178589036,4.34734096392264,65.728555049658,10.2,6.1,50630,60,43,54,157,21.8,19
"LA","2017","Louisiana",4.674,8.984,0.322635857937527,1.03635,6.9264,6.9367,48.2792178589036,4.34734096392264,65.728555049658,8.3,5.1,51370,53,42,41,136,24.5,21.8
"LA","2018","Louisiana",4.664,9.217,0.322041166380789,0.89275,6.5703,7.8025,48.2792178589036,4.34734096392264,65.728555049658,7.9,4.8,57760,64,40,41,145,25.4,24.5
"LA","2019","Louisiana",4.658,9.657,0.31859167024474,0.924,6.8975,7.959,48.1220464530253,4.7087206824163,64.7029645673848,8.9,4.6,58890,69,42,35,146,28.3,25.4
"MA","2015","Massachusetts",6.797,11.01,0.234073856112991,1.43375,7.0033,12.0134,47.77652052622,9.06949633532905,84.395430860276,2.8,4.8,82150,66,15,240,321,25.7,19
"MA","2016","Massachusetts",6.827,11.49,0.239197304819101,1.4279,7.0388,11.9083,47.77652052622,9.06949633532905,84.395430860276,2.5,4,86710,79,13,263,355,33,25.7
"MA","2017","Massachusetts",6.864,11.746,0.233245920745921,1.6934,7.9678,12.1356,47.77652052622,9.06949633532905,84.395430860276,2.8,3.8,89900,85,9,257,351,31.8,33
"MA","2018","Massachusetts",6.886,12.215,0.232355503920999,1.8625,7.5628,13.781,47.77652052622,9.06949633532905,84.395430860276,2.7,3.5,99800,125,14,275,414,32.8,31.8
"MA","2019","Massachusetts",6.895,12.729,0.220739666424946,1.8419,7.1025,13.9824,47.9197901996438,10.7164461274928,81.9937241800974,3,3,99900,135,14,289,438,32.1,32.8
"MD","2015","Maryland",5.989,9.001,0.194857238270162,0.9606,7.0604,8.6053,47.7065846510669,7.79698344668113,62.0873240838739,6.7,5,89090,191,59,132,382,20.9,17.4
