"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total"
"DE","2017","Delaware",0.958,11.444,0.252609603340292,1.43115,6.5099,9.028,47.7182212033493,7.00020260275151,73.3828553666138,5.6,4.4,79500,15,1,18,34
"DE","2018","Delaware",0.967,11.771,0.253360910031024,1.54735,6.5552,10.1837,47.7182212033493,7.00020260275151,73.3828553666138,5.8,3.7,77990,19,1,20,40
"DE","2019","Delaware",0.977,12.213,0.249744114636643,1.6422,6.618,11.4371,47.6995876515559,7.7590124351862,71.2920035473618,6.6,3.6,87700,19,1,24,44
"DE","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,25,49
"DE","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,28,55
"DE","2022","Delaware",NA,NA,NA,1.50995,6.5821,12.6284,48.5587138991119,10.3396910435626,67.9996779248937,5.5,4.2,83960,27,3,28,58
"DE","2023","Delaware",NA,NA,NA,1.42908380093612,12.2563239287386,14.8412597023634,NA,NA,NA,NA,3.8,86340,25,2,14,41
"FL","2015","Florida",20.219,8.33,0.185716405361294,1.2099,6.3059,7.5887,48.3293289881874,22.402095757558,80.1209186011556,13.4,5.5,61340,321,34,314,669
"FL","2016","Florida",20.627,8.519,0.186163765937848,1.12635,6.1937,7.8732,48.3293289881874,22.402095757558,80.1209186011556,12.5,4.9,63730,366,36,314,716
"FL","2017","Florida",20.977,8.814,0.185536540020022,0.9843,5.9294,7.7032,48.3293289881874,22.402095757558,80.1209186011556,12.9,4.3,64960,352,34,282,668
"FL","2018","Florida",21.255,9.148,0.174123735591626,1.19445,5.5681,8.7477,48.3293289881874,22.402095757558,80.1209186011556,13.2,3.6,65550,395,34,297,726
"FL","2019","Florida",21.492,9.49,0.16820212171971,1.21955,4.779,9.4716,48.3493102857448,24.9535102061416,79.1655437632753,13.1,3.2,69000,397,33,295,725
"FL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,34,290,712
"FL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,50,283,714
"FL","2022","Florida",NA,NA,NA,1.0516,4.1714,10.4218,49.2043744290525,27.0850885170001,76.8028183456438,11.2,3,67960,426,39,282,747
"FL","2023","Florida",NA,NA,NA,0.892420995836838,9.78046843903504,12.6718005223393,NA,NA,NA,NA,3,72200,365,24,221,610
"GA","2015","Georgia",10.183,7.055,0.181577138367868,0.8713,6.6125,7.9572,48.0553460563499,7.48238315617487,64.0431374067098,13.9,6.1,63780,157,77,88,322
"GA","2016","Georgia",10.308,7.353,0.18383779588669,1.00915,5.8573,7.8868,48.0553460563499,7.48238315617487,64.0431374067098,12.9,5.4,66650,163,65,86,314
"GA","2017","Georgia",10.417,7.605,0.186042046654507,1.12995,4.7936,7.3114,48.0553460563499,7.48238315617487,64.0431374067098,13.4,4.8,70960,156,60,76,292
"GA","2018","Georgia",10.519,7.844,0.190322273980416,1.0541,4.7759,6.8886,48.0553460563499,7.48238315617487,64.0431374067098,13.8,4,66960,177,66,89,332
"GA","2019","Georgia",10.628,8.243,0.190252164094844,1.0829,4.8572,8.4711,47.906728628604,8.26830403634492,61.6240742981853,13.4,3.6,66940,199,66,93,358
"GA","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,58,101,348
"GA","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,87,104,351
"GA","2022","Georgia",NA,NA,NA,0.86965,4.9001,9.552,48.8473615937723,10.4513970469379,58.9824625515767,11.7,3.2,70420,179,104,106,389
"GA","2023","Georgia",NA,NA,NA,1.02370350451451,10.2916962717992,12.7576570143481,NA,NA,NA,NA,3.3,72420,146,63,76,285
"HI","2015","Hawaii",1.423,7.747,0.22487702037948,0.88905,7.1933,7.9244,49.8770824166033,7.78326502558359,28.272316996447,3.8,3.4,81050,21,6,142,169
"HI","2016","Hawaii",1.429,8.041,0.247725682295311,1.1114,5.6379,8.1108,49.8770824166033,7.78326502558359,28.272316996447,3.5,2.9,89820,26,6,142,174
"HI","2017","Hawaii",1.426,8.496,0.253155680224404,1.17125,5.2548,8.3243,49.8770824166033,7.78326502558359,28.272316996447,3.8,2.2,90070,23,7,138,168
"HI","2018","Hawaii",1.423,8.932,0.245959241040056,1.127,5.5091,8.3134,49.8770824166033,7.78326502558359,28.272316996447,3.9,2.4,96100,27,6,135,168
"HI","2019","Hawaii",1.416,9.555,0.236581920903955,1.27105,5.5463,9.1104,49.7334697490405,8.56552075083587,27.4676669688836,4.1,2.5,104000,29,5,133,167
"HI","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,125,161
"HI","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,7,106,137
"HI","2022","Hawaii",NA,NA,NA,1.438,6.3073,10.4668,50.3203036253399,11.1167507755889,25.2229557643543,3.6,3.3,94620,21,12,101,134
"HI","2023","Hawaii",NA,NA,NA,1.26125087320926,10.3924921612414,12.29298031286,NA,NA,NA,NA,2.9,97360,16,3,79,98
"IA","2015","Iowa",3.123,8.358,0.212616074287544,0.76925,6.5925,5.0021,49.1515300253994,4.21170416735132,93.5731456602428,4.9,3.7,76450,23,10,118,151
"IA","2016","Iowa",3.133,8.464,0.224066390041494,0.62685,6.7489,4.7242,49.1515300253994,4.21170416735132,93.5731456602428,4,3.6,73590,25,11,127,163
"IA","2017","Iowa",3.144,8.525,0.225508905852417,0.7308,6.8289,5.4809,49.1515300253994,4.21170416735132,93.5731456602428,4.4,3.1,77670,27,8,128,163
"IA","2018","Iowa",3.15,8.812,0.226031746031746,0.88415,7.5784,6.8031,49.1515300253994,4.21170416735132,93.5731456602428,4.9,2.6,82430,31,8,128,167
"IA","2019","Iowa",3.16,9.193,0.225949367088608,0.92925,7.1763,7.2106,49.3743808066406,5.06861556898343,91.941325658797,4.7,2.7,78080,36,6,145,187
"IA","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,5,143,185
"IA","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,8,152,188
"IA","2022","Iowa",NA,NA,NA,0.9081,6.1309,6.7992,50.2024204214507,6.93028657557513,89.8249564054807,4.1,2.8,79350,30,6,138,174
"IA","2023","Iowa",NA,NA,NA,0.927366508230495,11.7020095472696,12.3274597306652,NA,NA,NA,NA,2.9,80860,36,4,159,199
"ID","2015","Idaho",1.652,6.843,0.14406779661017,0.63815,7.0659,6.3367,49.6914795962355,9.70917936953644,94.5188180541069,11.3,3.9,64850,101,15,16,132
"ID","2016","Idaho",1.684,6.974,0.150237529691211,0.69335,6.4199,6.3242,49.6914795962355,9.70917936953644,94.5188180541069,10.3,3.7,70440,113,15,15,143
"ID","2017","Idaho",1.72,7.257,0.152325581395349,0.83175,5.8976,7.0716,49.6914795962355,9.70917936953644,94.5188180541069,10.7,3.2,72810,99,13,12,124
"ID","2018","Idaho",1.752,7.444,0.139840182648402,0.90455,6.3295,7.7751,49.6914795962355,9.70917936953644,94.5188180541069,11.1,2.9,70450,104,15,14,133
"ID","2019","Idaho",1.789,7.723,0.133035215204025,0.9055,5.9095,8.4462,49.8055847224045,10.9182784665131,93.7680469877937,10.5,2.9,78000,101,12,11,124
"ID","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,14,11,110
"ID","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,20,13,132
"ID","2022","Idaho",NA,NA,NA,0.8945,5.8586,8.8917,50.3931083173933,13.5077639215011,92.6233333831864,8.2,2.9,75460,86,14,15,115
"ID","2023","Idaho",NA,NA,NA,1.04587210272099,11.8794080042024,12.1115237149988,NA,NA,NA,NA,3.2,73910,79,11,15,105
"IL","2015","Illinois",12.86,8.3,0.252566096423017,1.07095,6.5777,7.7349,48.4863608244435,14.0071272273092,78.7722746116184,7.1,6,75900,263,25,366,654
"IL","2016","Illinois",12.822,8.63,0.256044298861332,1.1438,6.4276,8.0563,48.4863608244435,14.0071272273092,78.7722746116184,6.5,5.9,76440,275,32,368,675
"IL","2017","Illinois",12.78,8.849,0.254851330203443,1.0699,5.9552,8.0263,48.4863608244435,14.0071272273092,78.7722746116184,6.9,5,80730,263,26,344,633
"IL","2018","Illinois",12.725,9.118,0.248408644400786,1.18395,6.6494,9.0108,48.4863608244435,14.0071272273092,78.7722746116184,7.1,4.4,84140,266,29,384,679
"IL","2019","Illinois",12.667,9.496,0.236046419831057,1.3359,6.4306,9.9303,48.5872114951666,15.3658916688368,77.6543155353384,7.3,4,87950,287,39,449,775
"IL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,40,408,713
"IL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,50,415,690
"IL","2022","Illinois",NA,NA,NA,1.26905,5.9316,10.7173,49.5049925163122,18.3096418766063,76.0815582093576,6.6,4.6,81120,229,43,396,668
"IL","2023","Illinois",NA,NA,NA,1.35363245938399,10.8801069142933,17.1175084627749,NA,NA,NA,NA,4.5,87820,196,41,366,603
"IN","2015","Indiana",6.611,8.368,0.182120707911057,0.82355,7.0967,7.6377,48.659320471975,5.13848401619798,87.686185426108,9.9,4.8,65310,76,11,176,263
