"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"MA","Government","2019",14,"Massachusetts",6895,12729,1522,0.220739666424946,2.4041,15.3623,6.4816,0.4125,30.4929,3.8748,7.8927,8.8304,"2018",12.729,6.895,32.7729,4.1722,9.3401,8.3353,7.1025,13.9824,1.4083,1.8419,3.1178,0.566,2.03045685279188e-06,0.520802098003562,0.479197901996438,0.107164461274928,0.892835538725072,0.00472238484043724,0.0718193020081324,0.083993049966181,0.0185392585235004,0.000988762860774826,0.819937241800974,0.559,0.054,0.221,0.131,0.005,0.03,1,6894.883,3,99900
"MD","Government","2015",59,"Maryland",5989,9001,1167,0.194857238270162,1.6109,9.6645,6.9675,0.9514,NA,NA,NA,NA,"2014",9.001,5.989,NA,NA,NA,NA,7.0604,8.6053,1.28115,0.9606,1.4408,0.4804,9.85139422274169e-06,0.522934153489331,0.477065846510669,0.0779698344668113,0.922030165533189,0.00522094087401803,0.0613053945865513,0.294533326696637,0.0171303185265136,0.000936778477541768,0.620873240838739,0.559,0.063,0.176,0.118,0.018,0.067,1,5988.528,5,89090
"MD","Government","2016",51,"Maryland",6007,9321,1224,0.2037622773431,1.9423,10.4673,6.3409,0.579,27.7711,3.3524,7.7361,8.6187,"2015",9.321,6.007,NA,NA,NA,NA,6.9675,9.6645,1.26065,1.28115,1.6109,0.9514,8.49009488929582e-06,0.522934153489331,0.477065846510669,0.0779698344668113,0.922030165533189,0.00522094087401803,0.0613053945865513,0.294533326696637,0.0171303185265136,0.000936778477541768,0.620873240838739,0.557,0.063,0.178,0.122,0.019,0.061,1,6007.014,4.3,88500
"MD","Government","2017",46,"Maryland",6028,9592,1317,0.218480424684804,2.2861,11.0364,5.7614,0.584,25.66,3.4327,7.153,7.8926,"2016",9.592,6.028,27.7711,3.3524,8.6187,7.7361,6.3409,10.4673,1.43505,1.26065,1.9423,0.579,7.63105507631055e-06,0.522934153489331,0.477065846510669,0.0779698344668113,0.922030165533189,0.00522094087401803,0.0613053945865513,0.294533326696637,0.0171303185265136,0.000936778477541768,0.620873240838739,0.562,0.056,0.178,0.124,0.018,0.061,1,6028.186,4,96800
"MD","Government","2018",41,"Maryland",6042,9934,1314,0.217477656405164,2.0766,10.1857,5.1042,0.3665,26.666,3.3387,6.3221,6.8914,"2017",9.934,6.042,25.66,3.4327,7.8926,7.153,5.7614,11.0364,1.22155,1.43505,2.2861,0.584,6.78583250579278e-06,0.522934153489331,0.477065846510669,0.0779698344668113,0.922030165533189,0.00522094087401803,0.0613053945865513,0.294533326696637,0.0171303185265136,0.000936778477541768,0.620873240838739,0.556,0.054,0.185,0.127,0.019,0.06,1,6042.153,3.8,99660
"MD","Government","2019",40,"Maryland",6055,10248,1324,0.218662262592898,1.8761,11.3739,5.2084,0.2568,27.7363,3.4284,6.3767,7.0108,"2018",10.248,6.055,26.666,3.3387,6.8914,6.3221,5.1042,10.1857,1.06645,1.22155,2.0766,0.3665,6.60611065235343e-06,0.522886869313053,0.477113130686947,0.08961647517068,0.91038352482932,0.00559880357587324,0.06811234581983,0.307220777480632,0.0202884545665401,0.000996454741237665,0.597783163815887,0.547,0.054,0.187,0.133,0.019,0.059,1,6054.954,3.4,108900
"ME","Government","2015",10,"Maine",1329,9591,305,0.229495861550038,1.8846,13.9832,5.5744,0.6197,NA,NA,NA,NA,"2014",9.591,1.329,NA,NA,NA,NA,5.9699,12.9143,1.25215,1.00395,1.4881,0.5198,7.52445447705041e-06,0.516010761046811,0.483989238953189,0.0116387341423185,0.988361265857681,0.00635479385131264,0.0105378741775198,0.0105997623867844,0.0110536092547253,0.000277559241550618,0.961176401088107,0.467,0.073,0.2,0.158,0.016,0.086,1,1329.098,4.4,61440
"ME","Government","2016",7,"Maine",1332,10018,301,0.225975975975976,1.9079,15.1183,5.9669,0.517,26.3735,2.7584,7.3846,7.8515,"2015",10.018,1.332,NA,NA,NA,NA,5.5744,13.9832,1.21245,1.25215,1.8846,0.6197,5.25525525525526e-06,0.516010761046811,0.483989238953189,0.0116387341423185,0.988361265857681,0.00635479385131264,0.0105378741775198,0.0105997623867844,0.0110536092547253,0.000277559241550618,0.961176401088107,0.479,0.073,0.194,0.16,0.016,0.079,1,1332.348,3.8,61020
"ME","Government","2017",6,"Maine",1336,10399,295,0.220808383233533,1.9594,16.308,5.9084,0.5457,25.0183,3.0357,7.945,8.3604,"2016",10.399,1.336,26.3735,2.7584,7.8515,7.3846,5.9669,15.1183,1.25255,1.21245,1.9079,0.517,4.49101796407186e-06,0.516010761046811,0.483989238953189,0.0116387341423185,0.988361265857681,0.00635479385131264,0.0105378741775198,0.0105997623867844,0.0110536092547253,0.000277559241550618,0.961176401088107,0.492,0.065,0.181,0.167,0.017,0.078,1,1335.743,3.4,62870
"ME","Government","2018",8,"Maine",1340,10950,287,0.214179104477612,2.1579,17.0937,6.4512,0.7006,23.7146,3.1375,8.5391,9.2746,"2017",10.95,1.34,25.0183,3.0357,8.3604,7.945,5.9084,16.308,1.42925,1.25255,1.9594,0.5457,5.97014925373134e-06,0.516010761046811,0.483989238953189,0.0116387341423185,0.988361265857681,0.00635479385131264,0.0105378741775198,0.0105997623867844,0.0110536092547253,0.000277559241550618,0.961176401088107,0.484,0.064,0.184,0.172,0.016,0.078,1,1340.123,3.2,67810
"ME","Government","2019",8,"Maine",1346,11488,306,0.227340267459138,2.08,18.13,5.9538,0.6085,23.4103,3.283,8.2033,8.8925,"2018",11.488,1.346,23.7146,3.1375,9.2746,8.5391,6.4512,17.0937,1.34425,1.42925,2.1579,0.7006,5.94353640416048e-06,0.51549408845424,0.48450591154576,0.0151519851116625,0.984848014888338,0.00665322580645161,0.0127536126112976,0.013978798715516,0.0129023135308714,0.000301963217048606,0.953410086118815,0.465,0.057,0.2,0.183,0.015,0.081,1,1345.77,2.9,75800
"MI","Government","2015",55,"Michigan",9934,8372,2410,0.242601167706865,1.3255,10.2894,5.9693,0.3934,NA,NA,NA,NA,"2014",8.372,9.934,NA,NA,NA,NA,6.4925,10.404,0.85945,0.7241,1.1197,0.3285,5.53654117173344e-06,0.514824411028746,0.485175588971254,0.0378693708855508,0.962130629114449,0.00669727308070648,0.027326857193551,0.135231296297746,0.014345875961832,0.00035133449705547,0.816047362969109,0.503,0.057,0.227,0.145,0.007,0.06,1,9934.483,5.4,65610
"MI","Government","2016",62,"Michigan",9954,8707,2526,0.253767329716697,1.5482,10.8094,6.1015,0.3814,27.3614,3.453,7.6109,8.0753,"2015",8.707,9.954,NA,NA,NA,NA,5.9693,10.2894,0.9648,0.85945,1.3255,0.3934,6.22865179827205e-06,0.514824411028746,0.485175588971254,0.0378693708855508,0.962130629114449,0.00669727308070648,0.027326857193551,0.135231296297746,0.014345875961832,0.00035133449705547,0.816047362969109,0.507,0.059,0.226,0.148,0.006,0.053,1,9954.117,5,68500
"MI","Government","2017",54,"Michigan",9977,8940,2338,0.234338979653202,1.8243,12.002,5.8576,0.3331,27.1403,3.7952,7.263,7.9349,"2016",8.94,9.977,27.3614,3.453,8.0753,7.6109,6.1015,10.8094,1.0787,0.9648,1.5482,0.3814,5.41244863185326e-06,0.514824411028746,0.485175588971254,0.0378693708855508,0.962130629114449,0.00669727308070648,0.027326857193551,0.135231296297746,0.014345875961832,0.00035133449705547,0.816047362969109,0.514,0.054,0.224,0.151,0.006,0.051,1,9976.752,4.6,66510
"MI","Government","2018",56,"Michigan",9987,9142,2632,0.263542605387003,2.0847,13.0815,5.6752,0.2352,28.2307,3.7191,6.8894,7.4743,"2017",9.142,9.987,27.1403,3.7952,7.9349,7.263,5.8576,12.002,1.15995,1.0787,1.8243,0.3331,5.60728947631922e-06,0.514824411028746,0.485175588971254,0.0378693708855508,0.962130629114449,0.00669727308070648,0.027326857193551,0.135231296297746,0.014345875961832,0.00035133449705547,0.816047362969109,0.51,0.052,0.224,0.155,0.006,0.054,1,9987.286,4.2,69870
"MI","Government","2019",57,"Michigan",9985,9532,2600,0.260390585878818,1.9569,14.4238,6.1202,0.3498,28.4531,3.7726,7.1115,7.565,"2018",9.532,9.985,28.2307,3.7191,7.4743,6.8894,5.6752,13.0815,1.15335,1.15995,2.0847,0.2352,5.7085628442664e-06,0.512680333162936,0.487319666837064,0.0442515822994691,0.955748417700531,0.00704241878821828,0.0333100439666511,0.134133360066363,0.0175420203436317,0.000397806871204956,0.807574349963931,0.509,0.052,0.217,0.159,0.006,0.058,1,9984.795,4.1,73030
"MN","Government","2015",45,"Minnesota",5484,9163,1211,0.220824215900802,1.6152,7.738,6.7532,0.3736,NA,NA,NA,NA,"2014",9.163,5.484,NA,NA,NA,NA,6.7233,7.3354,0.9944,0.7839,1.309,0.2588,8.20568927789934e-06,0.507463585175786,0.492536414824214,0.0392057347801981,0.960794265219802,0.0112523807670053,0.0414430573243479,0.0490482130555858,0.0133840392074273,0.000538717673010462,0.884333591972623,0.563,0.073,0.181,0.131,0.007,0.045,1,5484.002,3.8,83200
"MN","Government","2016",44,"Minnesota",5525,9540,1237,0.223891402714932,1.8825,7.4705,6.0909,0.3159,30.2872,3.189,6.9912,7.9865,"2015",9.54,5.525,NA,NA,NA,NA,6.7532,7.738,1.0992,0.9944,1.6152,0.3736,7.96380090497737e-06,0.507463585175786,0.492536414824214,0.0392057347801981,0.960794265219802,0.0112523807670053,0.0414430573243479,0.0490482130555858,0.0133840392074273,0.000538717673010462,0.884333591972623,0.562,0.073,0.179,0.137,0.007,0.042,1,5525.36,3.9,84250
"MN","Government","2017",43,"Minnesota",5569,9782,1197,0.214939845573712,1.8203,7.9063,5.4074,0.2505,28.5005,3.2261,6.1947,6.973,"2016",9.782,5.569,30.2872,3.189,7.9865,6.9912,6.0909,7.4705,1.0354,1.0992,1.8825,0.3159,7.72131441910576e-06,0.507463585175786,0.492536414824214,0.0392057347801981,0.960794265219802,0.0112523807670053,0.0414430573243479,0.0490482130555858,0.0133840392074273,0.000538717673010462,0.884333591972623,0.575,0.058,0.173,0.142,0.007,0.045,1,5569.283,3.5,82510
"MN","Government","2018",45,"Minnesota",5609,10174,1159,0.206632198252808,2.5935,9.8126,5.5727,0.3645,28.3274,3.5352,6.7506,7.2397,"2017",10.174,5.609,28.5005,3.2261,6.973,6.1947,5.4074,7.9063,1.479,1.0354,1.8203,0.2505,8.02282046710644e-06,0.507463585175786,0.492536414824214,0.0392057347801981,0.960794265219802,0.0112523807670053,0.0414430573243479,0.0490482130555858,0.0133840392074273,0.000538717673010462,0.884333591972623,0.574,0.055,0.179,0.141,0.007,0.043,1,5608.762,3,83010
"MN","Government","2019",45,"Minnesota",5640,10510,1124,0.199290780141844,2.3146,10.3128,6.0573,0.321,29.1785,3.2684,7.2929,7.6233,"2018",10.51,5.64,28.3274,3.5352,7.2397,6.7506,5.5727,9.8126,1.3178,1.479,2.5935,0.3645,7.97872340425532e-06,0.505634631290379,0.494365368709621,0.0454134703116854,0.954586529688315,0.0114408160225381,0.0486619177415082,0.0598251123340699,0.0166411450177675,0.000657160361654946,0.862773848522461,0.578,0.052,0.169,0.147,0.007,0.048,1,5640.053,3.3,92740
"MO","Government","2015",12,"Missouri",6075,8261,1076,0.177119341563786,1.4339,8.1698,6.5394,0.2611,NA,NA,NA,NA,"2014",8.261,6.075,NA,NA,NA,NA,6.7544,8.1361,0.8475,0.74195,1.2114,0.2725,1.97530864197531e-06,0.515957096384582,0.484042903615418,0.0310134063033523,0.968986593696648,0.00517091045312746,0.0184058404720948,0.111077692832676,0.0134233115097861,0.00115375589634066,0.850768488835975,0.512,0.075,0.148,0.15,0.017,0.098,1,6075.411,5.1,71660
"MO","Government","2016",14,"Missouri",6091,8608,1174,0.192743391889673,1.3721,8.3202,6.1682,0.3569,27.0393,3.0905,7.29,7.9851,"2015",8.608,6.091,NA,NA,NA,NA,6.5394,8.1698,0.8645,0.8475,1.4339,0.2611,2.29847315711706e-06,0.515957096384582,0.484042903615418,0.0310134063033523,0.968986593696648,0.00517091045312746,0.0184058404720948,0.111077692832676,0.0134233115097861,0.00115375589634066,0.850768488835975,0.517,0.078,0.146,0.154,0.015,0.09,1,6091.384,4.5,66010
"MO","Government","2017",11,"Missouri",6111,8824,1183,0.193585337915235,1.706,8.6844,5.6799,0.3226,27.199,3.3418,6.841,7.656,"2016",8.824,6.111,27.0393,3.0905,7.9851,7.29,6.1682,8.3202,1.0143,0.8645,1.3721,0.3569,1.80003272786778e-06,0.515957096384582,0.484042903615418,0.0310134063033523,0.968986593696648,0.00517091045312746,0.0184058404720948,0.111077692832676,0.0134233115097861,0.00115375589634066,0.850768488835975,0.515,0.07,0.149,0.16,0.015,0.091,1,6111.382,3.7,66660
"MO","Government","2018",11,"Missouri",6126,9032,1129,0.184296441397323,1.5507,8.8062,5.3558,0.2797,26.0017,2.9913,6.8012,7.5682,"2017",9.032,6.126,27.199,3.3418,7.656,6.841,5.6799,8.6844,0.9152,1.0143,1.706,0.3226,1.79562520404832e-06,0.515957096384582,0.484042903615418,0.0310134063033523,0.968986593696648,0.00517091045312746,0.0184058404720948,0.111077692832676,0.0134233115097861,0.00115375589634066,0.850768488835975,0.523,0.058,0.15,0.161,0.015,0.094,1,6125.986,3.2,71350
"MO","Government","2019",9,"Missouri",6140,9431,1025,0.166938110749186,1.4224,9.3017,5.5559,0.3032,25.9697,3.0089,7.1108,7.7089,"2018",9.431,6.14,26.0017,2.9913,7.5682,6.8012,5.3558,8.8062,0.8628,0.9152,1.5507,0.2797,1.46579804560261e-06,0.515460244426297,0.484539755573703,0.0362067257938483,0.963793274206152,0.00566560884574419,0.021798147288624,0.112050261741435,0.0161868843075162,0.00143103782556111,0.84286805999112,0.52,0.057,0.144,0.164,0.013,0.101,1,6140.475,3.2,69020
"MS","Government","2015",38,"Mississippi",2990,7777,751,0.251170568561873,1.0754,5.3619,5.4831,0.1564,NA,NA,NA,NA,"2014",7.777,2.99,NA,NA,NA,NA,6.1892,5.874,0.6159,0.62455,1.0508,0.1983,1.27090301003344e-05,0.52198435500787,0.47801564499213,0.0254497314122551,0.974550268587745,0.0053007703596964,0.0101117474086207,0.355845931609947,0.00730430893890538,0.000580742249819433,0.620856499433011,0.405,0.063,0.258,0.129,0.02,0.125,1,2990.231,6.5,48460
"MS","Government","2016",26,"Mississippi",2991,8170,754,0.252089602139753,1.3841,5.7715,4.8791,0.2413,20.8856,3.3454,6.1848,6.6935,"2015",8.17,2.991,NA,NA,NA,NA,5.4831,5.3619,0.8127,0.6159,1.0754,0.1564,8.69274490137078e-06,0.52198435500787,0.47801564499213,0.0254497314122551,0.974550268587745,0.0053007703596964,0.0101117474086207,0.355845931609947,0.00730430893890538,0.000580742249819433,0.620856499433011,0.422,0.06,0.248,0.133,0.019,0.118,1,2990.595,5.9,49310
"MS","Government","2017",22,"Mississippi",2991,8392,746,0.249414911400869,1.4069,7.1683,4.7694,0.2321,22.4778,3.3961,5.9915,6.7684,"2016",8.392,2.991,20.8856,3.3454,6.6935,6.1848,4.8791,5.7715,0.8195,0.8127,1.3841,0.2413,7.35539953192912e-06,0.52198435500787,0.47801564499213,0.0254497314122551,0.974550268587745,0.0053007703596964,0.0101117474086207,0.355845931609947,0.00730430893890538,0.000580742249819433,0.620856499433011,0.42,0.06,0.244,0.134,0.021,0.121,1,2990.674,5.2,51030
"MS","Government","2018",23,"Mississippi",2983,8417,711,0.238350653704325,1.5964,7.2055,4.7119,0.2237,23.2887,3.257,6.0417,6.7734,"2017",8.417,2.983,22.4778,3.3961,6.7684,5.9915,4.7694,7.1683,0.91005,0.8195,1.4069,0.2321,7.71035869929601e-06,0.52198435500787,0.47801564499213,0.0254497314122551,0.974550268587745,0.0053007703596964,0.0101117474086207,0.355845931609947,0.00730430893890538,0.000580742249819433,0.620856499433011,0.434,0.052,0.234,0.141,0.016,0.123,1,2982.879,4.9,49450
"MS","Government","2019",26,"Mississippi",2978,8745,701,0.235392881128274,1.6601,8.1229,5.1465,0.2445,22.234,3.086,6.5155,7.1463,"2018",8.745,2.978,23.2887,3.257,6.7734,6.0417,4.7119,7.2055,0.9523,0.91005,1.5964,0.2237,8.73069173942243e-06,0.522787955455147,0.477212044544853,0.0283073403495588,0.971692659650441,0.00569210571479864,0.011206442859695,0.364869770257167,0.00876157635511225,0.000612752897737423,0.608857351915489,0.422,0.047,0.242,0.142,0.018,0.129,1,2978.227,5.5,51010
"MT","Government","2015",18,"Montana",1031,8344,131,0.127061105722599,1.5722,11.3184,7.366,0.1826,NA,NA,NA,NA,"2014",8.344,1.031,NA,NA,NA,NA,8.0422,10.1997,0.8774,0.76895,1.2906,0.2473,1.7458777885548e-05,0.500390019551629,0.49960998044837,0.0267961160130884,0.973203883986912,0.0543532766707526,0.00810936756050368,0.00489043996231499,0.018213153282749,0.00082056061511655,0.913613201908563,0.444,0.107,0.152,0.162,0.02,0.116,1,1031.495,4.3,62210
"MT","Government","2016",18,"Montana",1042,8680,209,0.200575815738964,1.8707,12.3598,7.6467,0.3424,30.1344,3.1848,8.5093,9.1383,"2015",8.68,1.042,NA,NA,NA,NA,7.366,11.3184,1.10655,0.8774,1.5722,0.1826,1.7274472168906e-05,0.500390019551629,0.49960998044837,0.0267961160130884,0.973203883986912,0.0543532766707526,0.00810936756050368,0.00489043996231499,0.018213153282749,0.00082056061511655,0.913613201908563,0.434,0.096,0.205,0.159,0.023,0.084,1,1042.137,4.3,68480
"MT","Government","2017",16,"Montana",1054,9030,241,0.22865275142315,2.0008,13.3965,8.0118,0.3571,31.3101,3.6492,8.567,9.2285,"2016",9.03,1.054,30.1344,3.1848,9.1383,8.5093,7.6467,12.3598,1.17895,1.10655,1.8707,0.3424,1.5180265654649e-05,0.500390019551629,0.49960998044837,0.0267961160130884,0.973203883986912,0.0543532766707526,0.00810936756050368,0.00489043996231499,0.018213153282749,0.00082056061511655,0.913613201908563,0.436,0.094,0.193,0.164,0.022,0.091,1,1053.862,4.1,67690
"MT","Government","2018",17,"Montana",1062,9354,257,0.241996233521657,2.0263,14.906,7.8748,0.3205,29.1211,3.6617,8.7773,9.4065,"2017",9.354,1.062,31.3101,3.6492,9.2285,8.567,8.0118,13.3965,1.1734,1.17895,2.0008,0.3571,1.60075329566855e-05,0.500390019551629,0.49960998044837,0.0267961160130884,0.973203883986912,0.0543532766707526,0.00810936756050368,0.00489043996231499,0.018213153282749,0.00082056061511655,0.913613201908563,0.44,0.072,0.212,0.175,0.02,0.081,1,1061.818,3.7,66670
"MT","Government","2019",14,"Montana",1070,9808,253,0.236448598130841,2.2526,15.3997,7.9242,0.3912,29.4223,3.7898,9.5913,10.0419,"2018",9.808,1.07,29.1211,3.6617,9.4065,8.7773,7.8748,14.906,1.3219,1.1734,2.0263,0.3205,1.30841121495327e-05,0.499324207861061,0.500675792138939,0.0334829149999703,0.96651708500003,0.0540193881614531,0.00999601775960344,0.00550975648897157,0.0215718556645884,0.0008808478011495,0.908022134124234,0.43,0.08,0.208,0.181,0.018,0.083,1,1070.123,3.5,68560
"NC","Government","2015",34,"North Carolina",10037,7594,1790,0.178340141476537,1.9261,7.4308,5.6234,0.2132,NA,NA,NA,NA,"2014",7.594,10.037,NA,NA,NA,NA,6.5076,6.7237,1.06965,0.93555,1.5336,0.3375,3.38746637441467e-06,0.519904584047569,0.480095415952431,0.0688614380177,0.9311385619823,0.0142777605644378,0.0250412679546005,0.213678516024445,0.0125782663546411,0.000996405643108595,0.733427783458767,0.449,0.086,0.185,0.14,0.027,0.113,1,10037.218,5.7,61490
"NC","Government","2016",35,"North Carolina",10162,7886,1897,0.186675851210392,2.0331,7.9157,4.9597,0.3693,23.0938,3.5804,6.0525,7.0255,"2015",7.886,10.162,NA,NA,NA,NA,5.6234,7.4308,1.2012,1.06965,1.9261,0.2132,3.44420389687069e-06,0.519904584047569,0.480095415952431,0.0688614380177,0.9311385619823,0.0142777605644378,0.0250412679546005,0.213678516024445,0.0125782663546411,0.000996405643108595,0.733427783458767,0.455,0.082,0.187,0.144,0.027,0.105,1,10161.802,5.1,64510
"NC","Government","2017",36,"North Carolina",10276,8105,1973,0.19200077851304,2.0068,8.117,4.6949,0.4921,21.9652,3.3567,5.8183,6.5408,"2016",8.105,10.276,23.0938,3.5804,7.0255,6.0525,4.9597,7.9157,1.24945,1.2012,2.0331,0.3693,3.5033086804204e-06,0.519904584047569,0.480095415952431,0.0688614380177,0.9311385619823,0.0142777605644378,0.0250412679546005,0.213678516024445,0.0125782663546411,0.000996405643108595,0.733427783458767,0.463,0.072,0.184,0.146,0.027,0.107,1,10275.758,4.5,58420
"NC","Government","2018",38,"North Carolina",10391,8285,2010,0.193436627851025,1.9919,7.9077,5.1037,0.2921,23.2363,3.04,6.4377,6.9509,"2017",8.285,10.391,21.9652,3.3567,6.5408,5.8183,4.6949,8.117,1.142,1.24945,2.0068,0.4921,3.6570108747955e-06,0.519904584047569,0.480095415952431,0.0688614380177,0.9311385619823,0.0142777605644378,0.0250412679546005,0.213678516024445,0.0125782663546411,0.000996405643108595,0.733427783458767,0.469,0.065,0.182,0.148,0.027,0.109,1,10391.358,4,61690
"NC","Government","2019",38,"North Carolina",10501,8619,2011,0.19150557089801,2.0952,9.3906,5.4638,0.3055,25.712,3.1607,6.8624,7.2571,"2018",8.619,10.501,23.2363,3.04,6.9509,6.4377,5.1037,7.9077,1.20035,1.142,1.9919,0.2921,3.61870298066851e-06,0.520205860070295,0.479794139929705,0.0773085448886948,0.922691455111305,0.0144541243383113,0.0308977982951946,0.216450627864675,0.0155407639294703,0.00107212178366515,0.721584563788684,0.463,0.067,0.179,0.153,0.024,0.114,1,10501.384,3.9,69660
"ND","Government","2015",17,"North Dakota",756,9357,84,0.111111111111111,1.2403,5.9227,7.441,0.2217,NA,NA,NA,NA,"2014",9.357,0.756,NA,NA,NA,NA,8.1495,5.791,0.731,0.8467,1.3527,0.3407,2.24867724867725e-05,0.48931375737583,0.51068624262417,0.0224017955746804,0.97759820442532,0.0444426177363036,0.013202334533004,0.0162723955410848,0.0116440730667372,0.000545034113774531,0.913893545009096,0.557,0.099,0.107,0.129,0.025,0.083,1,755.537,2.8,69500
"ND","Government","2016",16,"North Dakota",756,9682,93,0.123015873015873,1.2736,5.6081,7.3424,0.3345,34.1543,2.7755,8.4327,8.9826,"2015",9.682,0.756,NA,NA,NA,NA,7.441,5.9227,0.80405,0.731,1.2403,0.2217,2.11640211640212e-05,0.48931375737583,0.51068624262417,0.0224017955746804,0.97759820442532,0.0444426177363036,0.013202334533004,0.0162723955410848,0.0116440730667372,0.000545034113774531,0.913893545009096,0.556,0.099,0.111,0.13,0.026,0.078,1,756.114,3.1,72210
"ND","Government","2017",17,"North Dakota",757,9961,93,0.122853368560106,1.5977,6.5705,6.9673,0.4955,33.5157,3.0282,7.9039,8.5959,"2016",9.961,0.757,34.1543,2.7755,8.9826,8.4327,7.3424,5.6081,1.0466,0.80405,1.2736,0.3345,2.24570673712021e-05,0.48931375737583,0.51068624262417,0.0224017955746804,0.97759820442532,0.0444426177363036,0.013202334533004,0.0162723955410848,0.0116440730667372,0.000545034113774531,0.913893545009096,0.58,0.091,0.107,0.131,0.016,0.075,1,756.755,2.6,70950
"ND","Government","2018",21,"North Dakota",760,10269,92,0.121052631578947,1.5802,7.8712,6.9379,0.3896,34.0701,3.0454,8.1033,8.7948,"2017",10.269,0.76,33.5157,3.0282,8.5959,7.9039,6.9673,6.5705,0.9849,1.0466,1.5977,0.4955,2.76315789473684e-05,0.48931375737583,0.51068624262417,0.0224017955746804,0.97759820442532,0.0444426177363036,0.013202334533004,0.0162723955410848,0.0116440730667372,0.000545034113774531,0.913893545009096,0.569,0.083,0.115,0.133,0.023,0.077,1,760.062,2.4,76870
"ND","Government","2019",21,"North Dakota",764,10653,89,0.116492146596859,1.5358,7.9545,6.8329,0.3347,32.9841,3.2126,8.2897,8.8839,"2018",10.653,0.764,34.0701,3.0454,8.7948,8.1033,6.9379,7.8712,0.93525,0.9849,1.5802,0.3896,2.74869109947644e-05,0.487817676715711,0.512182323284288,0.0332698837328943,0.966730116267106,0.0455516685530061,0.0171948417189697,0.0304935350001715,0.0151884624618445,0.000725383269883733,0.890846108996124,0.557,0.09,0.122,0.138,0.021,0.074,1,763.724,2.2,79760
"NE","Government","2015",23,"Nebraska",1892,8579,218,0.115221987315011,1.4581,6.3974,7.3369,0.2245,NA,NA,NA,NA,"2014",8.579,1.892,NA,NA,NA,NA,8.0299,5.8121,0.8413,0.77125,1.2341,0.3084,1.21564482029598e-05,0.507323085795119,0.492676914204881,0.0783903128718016,0.921609687128198,0.0108349267049076,0.0202781066820258,0.0438371670602812,0.0114216014793911,0.00100919480671493,0.912619003266679,0.554,0.089,0.129,0.131,0.018,0.078,1,1892.059,3,73200
"NE","Government","2016",24,"Nebraska",1906,8943,227,0.11909758656873,1.4885,7.3683,6.2537,0.2586,31.2796,3.1899,7.3149,8.2274,"2015",8.943,1.906,NA,NA,NA,NA,7.3369,6.3974,0.87355,0.8413,1.4581,0.2245,1.2591815320042e-05,0.507323085795119,0.492676914204881,0.0783903128718016,0.921609687128198,0.0108349267049076,0.0202781066820258,0.0438371670602812,0.0114216014793911,0.00100919480671493,0.912619003266679,0.55,0.086,0.128,0.129,0.017,0.089,1,1906.483,3.1,71240
"NE","Government","2017",22,"Nebraska",1917,9189,232,0.121022430881586,1.797,7.892,6.1918,0.2396,31.4605,2.9343,7.1041,8.0844,"2016",9.189,1.917,31.2796,3.1899,8.2274,7.3149,6.2537,7.3683,1.0183,0.87355,1.4885,0.2586,1.14762649973918e-05,0.507323085795119,0.492676914204881,0.0783903128718016,0.921609687128198,0.0108349267049076,0.0202781066820258,0.0438371670602812,0.0114216014793911,0.00100919480671493,0.912619003266679,0.556,0.079,0.125,0.134,0.02,0.086,1,1916.998,3,70260
"NE","Government","2018",22,"Nebraska",1926,9492,235,0.122014537902388,1.9769,8.431,6.2535,0.2415,31.8315,3.0043,7.4281,8.0106,"2017",9.492,1.926,31.4605,2.9343,8.0844,7.1041,6.1918,7.892,1.1092,1.0183,1.797,0.2396,1.14226375908619e-05,0.507323085795119,0.492676914204881,0.0783903128718016,0.921609687128198,0.0108349267049076,0.0202781066820258,0.0438371670602812,0.0114216014793911,0.00100919480671493,0.912619003266679,0.552,0.073,0.133,0.14,0.018,0.085,1,1925.512,2.9,78110
"NE","Government","2019",18,"Nebraska",1933,9917,231,0.119503362648733,1.8362,8.617,6.1184,0.2634,31.8385,2.703,7.0697,7.7126,"2018",9.917,1.933,31.8315,3.0043,8.0106,7.4281,6.2535,8.431,1.0498,1.1092,1.9769,0.2415,9.31195033626487e-06,0.50502424241592,0.49497575758408,0.0917978109736924,0.908202189026308,0.0118438379225259,0.0265478827191601,0.0475366931724404,0.0149285497529072,0.00109506240139289,0.898047974031574,0.568,0.069,0.126,0.142,0.016,0.079,1,1932.571,3.1,83230
