"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","profit_type","OTP_status","count_tx"
"AR","2018","Arkansas",3.012161,8.545,0.302108685425513,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144,"Forprofit","OTP",7
"AR","2018","Arkansas",3.012161,8.545,0.302108685425513,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144,"Nonprofit","OTP",NA
"AR","2018","Arkansas",3.012161,8.545,0.302108685425513,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144,"Government","OTP",2
"AR","2019","Arkansas",3.020985,8.853,0.277061951648221,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167,"Forprofit","NotOTP",31
"AR","2019","Arkansas",3.020985,8.853,0.277061951648221,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167,"Government","NotOTP",5
"AR","2019","Arkansas",3.020985,8.853,0.277061951648221,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167,"Nonprofit","NotOTP",123
"AR","2019","Arkansas",3.020985,8.853,0.277061951648221,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167,"Forprofit","OTP",6
"AR","2019","Arkansas",3.020985,8.853,0.277061951648221,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167,"Nonprofit","OTP",NA
"AR","2019","Arkansas",3.020985,8.853,0.277061951648221,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167,"Government","OTP",2
"AR","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,7,118,171,"Forprofit","NotOTP",40
"AR","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,7,118,171,"Government","NotOTP",5
"AR","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,7,118,171,"Nonprofit","NotOTP",118
"AR","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,7,118,171,"Forprofit","OTP",6
"AR","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,7,118,171,"Nonprofit","OTP",NA
